Rank	Freq	Keyness	Keyword
235	27	73.006	ездили
236	27	33.865	иногда
237	27	73.006	Ой
238	27	64.976	понравилось
239	27	24.481	слова
240	27	18.762	совсем
241	26	70.302	M
242	26	70.302	Булат
243	26	31.855	вам
244	26	40.388	вроде
245	26	17.267	ей
246	26	70.302	З
247	26	49.137	интересно
248	26	70.302	мама
249	26	70.302	Потом
250	26	62.346	рассказать
251	26	21.546	смысле
252	26	70.302	хочешь
253	25	67.598	H
254	25	67.598	Варвара
255	25	67.598	Вика
256	25	67.598	Голос
257	25	35.834	жизнь
258	25	18.799	каждый
259	25	67.598	Короче
260	25	2.279	оно
261	25	67.598	Татьяна
262	25	59.72	хочется
263	24	51.99	всякие
264	24	64.894	Когда
265	24	5.277	нее
266	24	64.894	Очень
267	24	29.688	принципе
268	24	3.52	своей
269	24	12.723	чего
270	24	10.537	шесть
271	23	2.866	времени
272	23	49.449	можешь
273	23	38.908	называется
274	23	13.859	равно
275	23	21.492	самое
276	23	2.6	такого
277	23	2.349	те
278	22	59.486	Ага
279	22	29.482	дома
280	22	59.486	Если
281	22	25.725	какую
282	22	59.486	Матвей
283	22	51.858	мм
284	22	59.486	Может
285	22	6.598	ней
286	22	1.418	некоторые
287	22	59.486	О
288	22	22.523	обычно
289	22	25.725	часов
290	22	59.486	чтоб
291	22	10.175	чуть
292	22	51.858	школе
293	22	59.486	Ээ
294	21	1.951	большой
295	21	56.782	Виктор
296	21	56.782	Вообще
297	21	11.132	далее
298	21	56.782	Есть
299	21	44.39	жили
300	21	22.185	жить
301	21	44.39	класс
302	21	9.648	кого
303	21	56.782	Миша
304	21	56.782	наверно
305	21	31.771	опять
306	21	56.782	По
307	21	7.728	соответственно
308	21	44.39	спасибо
309	21	56.782	тобой
310	21	22.185	язык
311	20	54.078	Всё
312	20	54.078	Галя
313	20	54.078	дети
314	20	54.078	Дочка
315	20	17.611	друг
316	20	27.367	другому
317	20	54.078	думала
318	20	9.123	лучше
319	20	15.257	моя
320	20	2.933	свой
321	20	54.078	Эээ
322	19	10.072	говоря
323	19	7.929	дальше
324	19	20	долго
325	19	12.692	каких
326	19	51.374	Лариса
327	19	23.349	места
328	19	5.171	место
329	19	4.296	нельзя
330	19	6.168	никогда
331	19	0.029	ним
332	19	51.374	Павел
333	19	5.653	плюс
334	19	51.374	Поэтому
335	19	44.033	приехали
336	19	51.374	прям
337	19	51.374	расскажи
338	19	27.413	слово
339	19	0.372	стоит
340	19	17.179	хотел
341	19	51.374	чём
342	18	48.671	аа
343	18	4.705	весь
344	18	8.072	вечером
345	18	48.671	Вы
346	18	48.671	говоришь
347	18	48.671	Или
348	18	2.795	итоге
349	18	48.671	Конечно
350	18	48.671	Младший
351	18	48.671	Москве
352	18	30.204	немножко
353	18	5.677	никто
354	18	25.271	понимаю
355	18	1.095	пор
356	18	48.671	Просто
357	18	8.072	разных
358	18	12.178	сильно
359	18	21.364	тему
360	18	0.166	тот
361	18	48.671	тридцать
362	18	36.865	учиться
363	18	48.671	фильм
364	18	25.271	хоть
365	17	8.253	довольно
366	17	17.814	допустим
367	17	15.033	заниматься
368	17	45.967	зовут
369	17	45.967	Игорь
370	17	45.967	Из
371	17	45.967	кадром
372	17	25.378	моей
373	17	11.665	начал
374	17	45.967	неё
375	17	45.967	Почему
376	17	45.967	Сейчас
377	17	45.967	ходила
378	17	34.377	час
379	17	2.417	человека
380	16	43.263	sg
381	16	43.263	Ааа
382	16	1.541	всем
383	16	0.208	второй
384	16	3.386	десять
385	16	0.289	дня
386	16	23.204	дом
387	16	43.263	Е
388	16	11.155	естественно
389	16	11.155	каким
390	16	19.187	кем
391	16	21.074	кому
392	16	14.604	наша
393	16	28.485	получилось
394	16	31.902	пошла
395	16	9.302	разные
396	16	43.263	родители
397	16	17.5	русский
398	16	14.604	уж
399	16	36.255	учитель
400	16	31.902	ходили
401	16	43.263	Хорошо
402	16	15.981	читать
403	16	25.642	языке
404	15	40.559	Y
405	15	40.559	ааа
406	15	10.648	вас
407	15	26.135	видео
408	15	40.559	Г
409	15	40.559	Давай
410	15	26.135	ж
411	15	26.135	зачем
412	15	40.559	Значит
413	15	29.441	играть
414	15	40.559	классе
415	15	14.193	метро
416	15	40.559	минуты
417	15	0.101	момент
418	15	7.952	наш
419	15	4.731	нашей
420	15	5.273	одно
421	15	26.135	пожалуйста
422	15	33.676	понял
423	15	3.772	понятно
424	15	1.46	раньше
425	15	4.731	самый
426	15	10.648	семь
427	15	10.648	семьи
428	15	40.559	Сергей
429	15	5.273	сих
430	15	0.855	слишком
431	15	0.056	сразу
432	15	29.441	сюда
433	15	7.197	точно
434	15	23.397	школа
435	15	40.559	што
436	14	37.855	бабушка
437	14	31.106	будешь
438	14	10.145	вещи
439	14	11.241	вся
440	14	23.807	г
441	14	37.855	говори
442	14	18.948	девять
443	14	31.106	домой
444	14	37.855	Кирилл
445	14	37.855	любит
446	14	37.855	Ммм
447	14	37.855	Н
448	14	6.669	наши
449	14	6.669	одну
450	14	37.855	ОлегСергеевич
451	14	1.628	особенно
452	14	37.855	помнишь
453	14	2.914	правда
454	14	37.855	пятнадцать
455	14	13.804	реально
456	14	37.855	России
457	14	5.35	сказали
458	14	37.855	смотрю
459	14	5.35	сначала
460	14	0.775	совершенно
461	14	37.855	Три
462	14	37.855	утра
463	13	35.151	D
464	13	35.151	Алина
465	13	18.996	бывает
466	13	4.84	восемь
467	13	21.505	говорила
468	13	35.151	господи
469	13	35.151	девочка
470	13	18.996	другую
471	13	35.151	Еще
472	13	21.505	какими
473	13	7.719	каком
474	13	28.545	концерт
475	13	35.151	Кто
476	13	35.151	куча
477	13	3.298	мало
478	13	12.031	месте
479	13	35.151	Мм
480	13	21.505	мои
481	13	35.151	ой
482	13	0.208	основном
483	13	35.151	поехали
484	13	12.031	пойти
485	13	28.545	поняла
486	13	12.031	рублей
487	13	35.151	Света
488	13	18.996	смотреть
489	13	21.505	специально
490	13	28.545	твои
491	13	35.151	Тут
492	13	35.151	угу
493	13	18.996	улице
494	13	35.151	учились
495	13	24.568	ходить
496	13	18.996	хотелось
497	13	21.505	честно
498	13	35.151	Юлия
499	13	16.875	языка
500	12	32.447	ага
501	12	32.447	берег
502	12	0.989	видимо
503	12	2.443	всю
504	12	8.118	главное
505	12	32.447	Господи
506	12	3.29	давно
507	12	19.231	делали
508	12	25.995	делаю
509	12	32.447	детстве
510	12	11.63	друзья
511	12	32.447	думаешь
512	12	32.447	Думаю
513	12	2.443	знает
514	12	3.785	идти
515	12	32.447	квартиру
516	12	32.447	кешью
517	12	25.995	купил
518	12	19.231	купить
519	12	32.447	Ладно
520	12	32.447	любят
521	12	19.231	маленький
522	12	22.161	мать
523	12	22.161	машина
524	12	8.118	море
525	12	16.847	надеюсь
526	12	32.447	Надо
527	12	2.845	наших
528	12	5.614	недавно
529	12	22.161	нравятся
530	12	10.317	плане
531	12	10.317	плохо
532	12	22.161	поговорить
533	12	3.785	постоянно
534	12	32.447	пятьдесят
535	12	2.845	решил
536	12	0.79	своим
537	12	19.231	семье
538	12	1.215	сложно
539	12	32.447	смешно
540	12	1.215	собой
541	12	11.63	спокойно
542	11	29.743	inan
543	11	0.709	большая
544	11	19.778	вдруг
545	11	29.743	весело
546	11	29.743	Владислав
547	11	7.607	всеми
548	11	0.183	говорили
549	11	29.743	давали
550	11	29.743	девочки
551	11	29.743	Ещё
552	11	11.261	завтра
553	11	29.743	знала
554	11	29.743	кадра
555	11	29.743	Какой
556	11	19.778	квартире
557	11	29.743	круто
558	11	4.423	машины
559	11	11.261	минус
560	11	3.83	наоборот
561	11	0.109	первой
562	11	12.862	писала
563	11	29.743	понимаешь
564	11	14.741	посмотреть
565	11	5.087	прошли
566	11	29.743	Расскажи
567	11	29.743	Рассказчик
568	11	3.299	серьезно
569	11	23.458	сижу
570	11	7.607	скажем
571	11	29.743	смотри
572	11	11.261	собственно
573	11	29.743	Соседка
574	11	29.743	спать
575	11	14.741	считаю
576	11	11.261	тысячи
577	11	12.862	утром
578	11	9.878	хорошие
579	11	4.423	хотели
580	11	0.183	часто
581	11	5.087	школы
582	10	12.683	б
583	10	17.423	будто
584	10	0.13	быстро
585	10	27.039	восемьдесят
586	10	27.039	девяносто
587	10	27.039	До
588	10	27.039	ехать
589	10	27.039	забыл
590	10	12.683	знаете
591	10	27.039	картинка
592	10	4.561	ко
593	10	0.326	летом
594	10	27.039	Михаил
595	10	17.423	мной
596	10	27.039	Можно
597	10	17.423	написано
598	10	0.824	начали
599	10	27.039	озеро
600	10	27.039	окей
601	10	17.423	отец
602	10	17.423	пошел
603	10	27.039	прикольно
604	10	14.79	пришла
605	10	0.824	работа
606	10	20.936	рассказывала
607	10	27.039	ребята
608	10	9.462	рядом
609	10	0.025	сами
610	10	27.039	своё
611	10	3.331	сказала
612	10	27.039	смешок
613	10	27.039	смеётся
614	10	27.039	собака
615	10	27.039	Спасибо
616	10	8.196	темы
617	10	27.039	ушёл
618	10	27.039	холодно
619	10	8.196	хороший
620	10	0.067	хотят
621	9	24.335	A
622	9	24.335	n
623	9	24.335	Аа
624	9	24.335	Ан
625	9	24.335	Анатолий
626	9	24.335	Ар
627	9	15.102	берут
628	9	24.335	Блин
629	9	2.352	большое
630	9	15.102	брали
631	9	2.352	ведет
632	9	10.682	взяли
633	9	3.396	взять
634	9	24.335	видишь
635	9	24.335	вкус
636	9	0.548	голос
637	9	9.08	город
638	9	0.387	города
639	9	4.036	городе
640	9	7.738	давайте
641	9	24.335	двенадцать
642	9	24.335	Дедушка
643	9	2.839	другое
644	9	2.352	другом
645	9	18.432	друзей
646	9	6.597	живут
647	9	18.432	жил
648	9	10.682	зала
649	9	18.432	институте
650	9	18.432	интересные
651	9	9.08	историю
652	9	24.335	Какие
653	9	12.636	какого
654	9	24.335	классно
655	9	24.335	кошки
656	9	24.335	кхм
657	9	24.335	Леонид
658	9	15.102	маленькая
659	9	15.102	машине
660	9	2.839	мир
661	9	18.432	мое
662	9	7.738	нами
663	9	10.682	народ
664	9	0.742	насколько
665	9	0.083	невозможно
666	9	1.929	непонятно
667	9	6.597	обратно
668	9	3.396	особо
669	9	2.352	отношение
670	9	24.335	переехали
671	9	15.102	половиной
672	9	24.335	Понятно
673	9	4.036	пошли
674	9	24.335	Привет
675	9	0.033	пришлось
676	9	24.335	расскажу
677	9	5.617	решили
678	9	9.08	руки
679	9	15.102	семья
680	9	2.352	следующий
681	9	0.083	столько
682	9	0.387	страна
683	9	0.548	такую
684	9	24.335	танцами
685	9	7.738	текст
686	9	18.432	учителя
687	9	0.973	хочет
688	9	24.335	чай
689	9	15.102	часа
690	8	21.631	acc
691	8	21.631	nom
692	8	21.631	ааa
