Rank	Freq	2-gramm	
1084	5	пришла	в
1085	5	раза	в
1086	5	рассказчик	ну
1087	5	ребенок	нет
1088	5	ребенок	я
1089	5	рома	я
1090	5	роман	да
1091	5	русский	язык
1092	5	с	бабушкой
1093	5	с	детства
1094	5	с	друзьями
1095	5	с	нами
1096	5	с	одной
1097	5	с	точки
1098	5	с	утра
1099	5	своей	жизни
1100	5	себя	в
1101	5	сейчас	а
1102	5	сейчас	не
1103	5	сказал	что
1104	5	сколько	там
1105	5	слава	богу
1106	5	смех	я
1107	5	соответственно	мы
1108	5	соседка	а
1109	5	соседка	б
1110	5	студент	угу
1111	5	т	да
1112	5	так	нельзя
1113	5	так	ну
1114	5	так	получилось
1115	5	так	у
1116	5	такая	типа
1117	5	такие	вот
1118	5	там	ещё
1119	5	там	из
1120	5	там	мне
1121	5	там	нрзб
1122	5	там	у
1123	5	то	ещё
1124	5	то	когда
1125	5	то	образом
1126	5	то	э
1127	5	то	это
1128	5	тогда	это
1129	5	только	не
1130	5	ты	говоришь
1131	5	ты	ещё
1132	5	ты	такой
1133	5	угу	студент
1134	5	уже	как
1135	5	уже	на
1136	5	хотя	я
1137	5	целый	день
1138	5	чем	я
1139	5	четыре	минуты
1140	5	что	всё
1141	5	что	да
1142	5	что	люди
1143	5	что	можно
1144	5	что	нас
1145	5	что	нужно
1146	5	что	так
1147	5	школу	в
1148	5	э	ну
1149	5	э	это
1150	5	этим	летом
1151	5	это	время
1152	5	это	за
1153	5	это	конечно
1154	5	это	короче
1155	5	это	мама
1156	5	это	на
1157	5	это	надо
1158	5	это	такая
1159	5	это	ты
1160	5	это	у
1161	5	эээ	в
1162	5	эээ	вот
1163	5	эээ	и
1164	5	я	вам
1165	5	я	все
1166	5	я	да
1167	5	я	делаю
1168	5	я	ей
1169	5	я	еще
1170	5	я	забыл
1171	5	я	запомнила
1172	5	я	иногда
1173	5	я	их
1174	5	я	когда
1175	5	я	ненавижу
1176	5	я	ничего
1177	5	я	нрзб
1178	5	я	пока
1179	5	я	поняла
1180	5	я	рассказывала
1181	5	я	решил
1182	5	я	сама
1183	5	я	сегодня
1184	5	я	смотрю
1185	5	я	туда
1186	5	я	у
1187	5	я	хотел
1188	4	acc	sg
1189	4	class	note
1190	4	glass	onion
1191	4	h	да
1192	4	h	нет
1193	4	inan	acc
1194	4	inan	nom
1195	4	komm	komm
1196	4	m	inan
1197	4	nom	sg
1198	4	note	смех
1199	4	s	m
1200	4	spro	sg
1201	4	y	ну
1202	4	а	аа
1203	4	а	бабушка
1204	4	а	вечером
1205	4	а	второй
1206	4	а	значит
1207	4	а	кстати
1208	4	а	про
1209	4	а	сколько
1210	4	а	тогда
1211	4	ааа	я
1212	4	алексей	ты
1213	4	алёна	ммм
1214	4	анна	мне
1215	4	анна	это
1216	4	арина	ну
1217	4	б	в
1218	4	б	на
1219	4	бабушка	вот
1220	4	бабушка	да
1221	4	бабушка	я
1222	4	белые	лилии
1223	4	блин	блин
1224	4	больше	больше
1225	4	больше	и
1226	4	братьях	наших
1227	4	будет	очень
1228	4	булат	ну
1229	4	бы	в
1230	4	бы	ещё
1231	4	бы	на
1232	4	бы	ну
1233	4	бы	они
1234	4	бы	у
1235	4	был	в
1236	4	была	на
1237	4	были	в
1238	4	были	не
1239	4	были	очень
1240	4	было	как
1241	4	было	такое
1242	4	было	уже
1243	4	в	будущем
1244	4	в	восемь
1245	4	в	год
1246	4	в	двух
1247	4	в	инопланетян
1248	4	в	иране
1249	4	в	каждом
1250	4	в	казахстане
1251	4	в	каких
1252	4	в	классе
1253	4	в	которой
1254	4	в	крым
1255	4	в	лесу
1256	4	в	лингвистике
1257	4	в	моей
1258	4	в	нет
1259	4	в	одном
1260	4	в	россии
1261	4	в	самом
1262	4	в	своем
1263	4	в	себе
1264	4	в	три
1265	4	в	университетах
1266	4	в	университете
1267	4	в	чём
1268	4	вай	фай
1269	4	взять	и
1270	4	вложил	в
1271	4	вместе	с
1272	4	вообще	мне
1273	4	вообще	у
1274	4	вообще	что
1275	4	вот	d
1276	4	вот	было
1277	4	вот	ещё
1278	4	вот	из
1279	4	вот	именно
1280	4	вот	про
1281	4	вот	смотри
1282	4	вот	такого
1283	4	вот	такое
1284	4	вот	татьяна
1285	4	вот	типа
1286	4	вот	этой
1287	4	время	в
1288	4	время	когда
1289	4	все	дела
1290	4	все	мы
1291	4	все	так
1292	4	все	такие
1293	4	всё	да
1294	4	всё	что
1295	4	всё	я
1296	4	вы	не
1297	4	говорили	на
1298	4	говорит	я
1299	4	говорить	что
1300	4	говорящий	и
1301	4	гузель	ты
1302	4	да	арина
1303	4	да	всё
1304	4	да	говорящий
1305	4	да	конечно
1306	4	да	он
1307	4	да	просто
1308	4	да	саша
1309	4	да	ты
1310	4	да	что
1311	4	давай	еще
1312	4	давайте	поговорим
1313	4	даже	на
1314	4	два	бабушка
1315	4	два	раза
1316	4	двести	рублей
1317	4	деле	у
1318	4	деле	это
1319	4	дело	и
1320	4	день	рождения
1321	4	для	грусти
1322	4	для	себя
1323	4	доехали	до
1324	4	дом	к
1325	4	допустим	у
1326	4	дочка	ага
1327	4	друг	мой
1328	4	его	не
1329	4	ездили	на
1330	4	елена	да
1331	4	елена	мне
1332	4	есть	допустим
1333	4	есть	на
1334	4	есть	они
1335	4	есть	такой
1336	4	есть	э
1337	4	еще	вот
1338	4	еще	и
1339	4	еще	один
1340	4	ещё	а
1341	4	ещё	была
1342	4	ещё	я
1343	4	жизни	вот
1344	4	з	нет
1345	4	за	колбасой
1346	4	за	селекции
1347	4	за	то
1348	4	за	это
1349	4	задний	привод
1350	4	здесь	на
1351	4	знает	что
1352	4	знаешь	что
1353	4	значит	эээ
1354	4	знаю	а
1355	4	знаю	вот
1356	4	знаю	где
1357	4	и	будет
1358	4	и	было
1359	4	и	быть
1360	4	и	вся
1361	4	и	говоришь
1362	4	и	да
1363	4	и	даже
1364	4	и	ещё
1365	4	и	мама
1366	4	и	меня
1367	4	и	надо
1368	4	и	о
1369	4	и	плюс
1370	4	и	получается
1371	4	и	прочее
1372	4	и	такая
1373	4	и	те
1374	4	и	тут
1375	4	и	ээ
1376	4	игорь	ну
1377	4	идти	на
1378	4	из	громкоговорителя
1379	4	из	других
1380	4	из	москвы
1381	4	из	них
1382	4	или	на
1383	4	именно	поэтому
1384	4	имею	в
1385	4	интервьюер	а
1386	4	ирина	да
1387	4	их	в
1388	4	к	ней
1389	4	к	ребенок
1390	4	к	столетию
1391	4	к	тебе
1392	4	кажется	я
1393	4	казалось	что
1394	4	как	вы
1395	4	как	мне
1396	4	как	можно
1397	4	как	они
1398	4	какое	нибудь
1399	4	катя	а
1400	4	катя	не
1401	4	кашель	и
1402	4	кем	то
1403	4	кирилл	ну
1404	4	ко	мне
1405	4	кому	то
1406	4	конечно	а
1407	4	конечно	в
1408	4	конечно	не
1409	4	короче	это
1410	4	короче	я
1411	4	костя	что
1412	4	костя	это
1413	4	которую	я
1414	4	который	был
1415	4	который	я
1416	4	крайней	мере
1417	4	кто	не
1418	4	кхм	кхм
1419	4	ладно	в
1420	4	лебединое	озеро
1421	4	лера	да
1422	4	лет	назад
1423	4	ли	не
1424	4	лиля	в
1425	4	лиля	ты
1426	4	любовь	это
1427	4	людей	в
1428	4	маша	никит
1429	4	маша	нрзб
1430	4	маша	угу
1431	4	между	собой
1432	4	меня	вот
1433	4	меня	еще
1434	4	меня	зовут
1435	4	меня	их
1436	4	меня	просто
1437	4	меня	так
1438	4	минут	пять
1439	4	мм	говорящий
1440	4	ммм	ирина
1441	4	мне	вот
1442	4	мне	еще
1443	4	мне	и
1444	4	мне	тоже
1445	4	можешь	рассказать
1446	4	можно	сделать
1447	4	мы	видим
